continent,year,month,total_cases,total_deaths
"European Union",2021,July,1316817,4319
"European Union",2021,August,2207624,10684
"European Union",2021,September,1363036,13675
"European Union",2021,October,2570980,30563
"European Union",2021,November,5471322,48941
"European Union",2021,December,7522218,53661
"European Union",2022,January,33398169,60214
"European Union",2022,February,21116909,55414
"European Union",2022,March,15797691,34873
"European Union",2022,April,11560625,24180
"European Union",2022,May,6452218,17571
"European Union",2022,June,5003629,8881
"European Union",2022,July,11925978,20924
"European Union",2022,August,3870723,15230
"European Union",2022,September,3069836,8856
"European Union",2022,October,7018242,17862
"European Union",2022,November,3051105,11102
"European Union",2022,December,3773950,15207
"European Union",2023,January,1764727,15609
"European Union",2023,February,971091,6888
"European Union",2023,March,900388,6834
"European Union",2023,April,714165,6961
"European Union",2023,May,325531,3860
"European Union",2023,June,159890,2118
"European Union",2023,July,52245,808
"European Union",2023,August,91197,820
"European Union",2023,September,242099,1367
"European Union",2023,October,378930,2627
"European Union",2023,November,318337,3457
"European Union",2023,December,615364,5803
"European Union",2024,January,179023,3065
"European Union",2024,February,52026,900
"European Union",2024,March,21637,372
"European Union",2024,April,11676,153
"European Union",2024,May,12887,149
"European Union",2024,June,42036,489
"European Union",2024,July,10956,111
"North America",2020,January,8,0
"North America",2020,February,42,0
"North America",2020,March,135759,2235
"North America",2020,April,870993,57016
"North America",2020,May,1038602,74203
"North America",2020,June,960552,43912
"North America",2020,July,2003903,49195
"North America",2020,August,2174072,63369
"North America",2020,September,1417710,36079
"North America",2020,October,1805165,33563
"North America",2020,November,5239275,67489
"North America",2020,December,6269725,95210
"North America",2021,January,7961202,160911
"North America",2021,February,2908303,97794
"North America",2021,March,1959994,46908
"North America",2021,April,2252739,31199
"North America",2021,May,1745981,31261
"North America",2021,June,716748,16272
"North America",2021,July,1603975,17587
"North America",2021,August,5655510,63465
"North America",2021,September,4944359,76072
"North America",2021,October,3635224,73173
"North America",2021,November,2595934,38195
"North America",2021,December,4285537,42425
"North America",2022,January,25409280,85094
"North America",2022,February,5675203,81796
"North America",2022,March,1382764,31160
"North America",2022,April,1365672,15675
"North America",2022,May,3534793,15272
"North America",2022,June,3439666,10786
"North America",2022,July,5770802,18843
"North America",2022,August,3298428,16971
"North America",2022,September,2061478,13579
"North America",2022,October,1600161,16022
"North America",2022,November,1290517,11382
"North America",2022,December,2030338,12571
"North America",2023,January,2256797,20409
"North America",2023,February,1259325,13913
"North America",2023,March,831689,9186
"North America",2023,April,688887,8252
"North America",2023,May,232439,5110
"North America",2023,June,12450,2674
"North America",2023,July,7261,2776
"North America",2023,August,7115,3528
"North America",2023,September,12990,5581
"North America",2023,October,23953,7353
"North America",2023,November,22329,5909
"North America",2023,December,28848,10060
"North America",2024,January,18417,9950
"North America",2024,February,11324,6316
"North America",2024,March,7941,5216
"North America",2024,April,5033,2220
"North America",2024,May,6562,1543
"North America",2024,June,5118,1750
"North America",2024,July,452,340
